,Property_ID,Prop_Type,Tax_Key,Address,District_Num,Nbhd_Num,Style,Unit_Count,Fbath_Count,Hbath_Count,Lot_Size,Sale_Date,Sale_Price,Ext_Wall,Story_Count,Year_Built,Room_Count,Finished_Sqft,Bdrm_Count,Condo_Project
0,98461,Manufacturing,30131000,9434-9446 N 107TH ST,9,6300,Service Building,6,0,0,0,2022-04-01,950000.0,,,,,,,
89,100629,Manufacturing,420131000,8800 W DEAN RD,9,6300,Warehouse Building - 1 Story,1,0,0,0,2022-06-15,1525000.0,,,,,,,
225,103040,Manufacturing,810202100,8219 W BRADLEY RD,9,6300,Special - to use this code see supv.,0,0,0,0,2022-10-06,820000.0,,,,,,,
1771,135165,Manufacturing,2309997000,3025 W ATKINSON AV,1,6300,Special - to use this code see supv.,0,0,0,0,2022-09-30,320000.0,,,,,,,
4873,206712,Manufacturing,4230051000,3880 W WHEELHOUSE RD,8,6300,Warehouse Building - 1 Story,2,0,0,0,2022-01-27,8025000.0,,,,,,,
4876,206777,Manufacturing,4240321000,185 S 33RD CT,8,6300,Commercial Exempt,1,0,0,0,2022-04-04,7450000.0,,,,,,,
32,98976,Commercial,310421000,7400 W BROWN DEER RD,9,6202,Office Building - Multi Story ( Ofc & Apt),4,0,0,0,2022-09-13,475000.0,Concrete Block,2.0,1978.0,0.0,7444.0,3.0,
88,100627,Commercial,420122000,8525 N 87TH ST,9,6453,Office Warehouse Park - multi tenants,1,0,0,0,2022-11-16,650000.0,Concrete Block,1.0,1988.0,0.0,10027.0,3.0,
108,100873,Commercial,430422000,8301 W BROWN DEER RD,9,6202,"Store Building - Single tenant, 1 story",1,0,0,0,2022-01-28,385000.0,Concrete Block,1.0,1980.0,0.0,1703.0,3.0,
109,100874,Commercial,430431000,7600 W DEAN RD,9,6206,Office Building - 1 Story,1,0,0,41991,2022-09-30,275000.0,Fiber Cement/Hardiplank,1.0,1975.0,0.0,5567.0,3.0,
120,101089,Commercial,430851000,8111 W BROWN DEER RD,9,6202,"Store Building - Single tenant, 1 story",1,0,0,29293,2022-06-10,425000.0,,1.0,2004.0,0.0,3871.0,3.0,
121,101090,Commercial,430852000,8101 W BROWN DEER RD,9,6440,Sit Down Restaurant,1,0,0,40706,2022-06-13,1900000.0,Masonary Frame,1.0,2002.0,0.0,4198.0,3.0,
138,101451,Commercial,449972100,7015 W BROWN DEER RD,9,6465,Funeral Home,1,0,0,0,2022-12-21,1089587.0,Brick,1.0,1976.0,0.0,10153.0,3.0,
203,102688,Commercial,760101000,11815 W BRADLEY RD,5,6453,Office Building - 1 Story,1,0,0,0,2022-12-29,1725000.0,Brick,1.0,1994.0,0.0,30000.0,3.0,
302,104544,Commercial,1060052000,7120 W GOOD HOPE RD,9,6206,Office Building - 1 Story,1,0,0,23058,2022-07-20,590000.0,Concrete Block,1.0,1984.0,0.0,5345.0,3.0,
332,105117,Commercial,1110152000,11050 W LIBERTY DR,5,6453,Office Building - 1 Story,1,0,0,0,2022-03-31,3850000.0,Brick,1.0,2006.0,0.0,29297.0,3.0,
380,106264,Commercial,1190031000,6920 N 76TH ST,9,6206,Auto & Auto Body Repair,1,0,0,38599,2022-04-04,1446400.0,Concrete Block,1.0,1972.0,0.0,14167.0,3.0,
381,106270,Commercial,1190053000,7335 W GOOD HOPE RD,9,6206,Strip Shopping Center,6,0,0,37497,2022-05-31,2470000.0,Brick,1.0,2006.0,0.0,8863.0,3.0,
407,107089,Commercial,1229983113,4919 W GOOD HOPE RD,9,6216,Warehouse Building - 1 Story,1,0,0,15030,2022-03-31,408000.0,Concrete Block,1.0,1971.0,0.0,7200.0,3.0,
